,Time,X,Y,X Vel,Y Vel,Yaw
0,1.554104,1000.0,8.75,0.0,0.0,0.0
1,1.696099,1000.0,8.75,0.0,0.0,0.0
2,1.78496,1000.0,8.75,0.0,0.0,0.0
3,1.890524,1000.0,8.75,0.0,0.0,0.0
4,1.992557,1000.0,8.75,0.0,0.0,0.0
5,2.099407,1000.000732421875,8.75,-0.0027350028976798058,3.633828571381059e-09,0.0
6,2.200758,1000.000732421875,8.75,-0.0027350028976798058,3.633828571381059e-09,0.0
7,2.300847,1000.000732421875,8.74616527557373,0.001835593837313354,-0.04869551956653595,-0.0006713866605423391
8,2.399822,1000.000732421875,8.74616527557373,0.001835593837313354,-0.04869551956653595,-0.0006713866605423391
9,2.503583,1000.0005493164062,8.74620532989502,6.809675687691197e-05,-0.006366176530718803,-0.0007934570894576609
10,2.5996,1000.0005493164062,8.74620532989502,6.809675687691197e-05,-0.006366176530718803,-0.0007934570894576609
11,2.698185,1000.0006103515625,8.746031761169434,-0.000417017174186185,0.010564331896603107,-0.00079345703125
12,2.808587,1000.0006103515625,8.746031761169434,-0.000417017174186185,0.010564331896603107,-0.00079345703125
13,2.908359,1000.0006103515625,8.746031761169434,-0.000417017174186185,0.010564331896603107,-0.00079345703125
14,3.023162,1000.000732421875,8.745903968811035,-0.00044584053102880716,0.014829342253506184,-0.0007019041222520173
15,3.121342,1000.000732421875,8.745903968811035,-0.00044584053102880716,0.014829342253506184,-0.0007019041222520173
16,3.236423,1000.0008544921875,8.745845794677734,-0.00034659041557461023,0.013523848727345467,-0.00054931640625
17,3.336989,1000.0008544921875,8.745845794677734,-0.00034659041557461023,0.013523848727345467,-0.00054931640625
18,3.45171,1000.0009155273438,8.745829582214355,-0.00023766770027577877,0.010424240492284298,-0.00036621096660383046
19,3.563759,1000.0009765625,8.745831489562988,-0.000152517925016582,0.007282883860170841,-0.00021362303232308477
20,3.676443,1000.0009765625,8.745831489562988,-0.000152517925016582,0.007282883860170841,-0.00021362303232308477
21,3.783553,1000.0010986328125,8.74583911895752,-9.406788740307093e-05,0.004742854740470648,-0.0001220703125
22,3.887897,1000.0010986328125,8.74583911895752,-9.406788740307093e-05,0.004742854740470648,-0.0001220703125
23,3.999252,1000.0010986328125,8.74584674835205,-5.6675584346521646e-05,0.002915197517722845,-3.0517576306010596e-05
24,4.108873,1000.0010986328125,8.74584674835205,-5.6675584346521646e-05,0.002915197517722845,-3.0517576306010596e-05
25,4.223124,1000.0010986328125,8.745851516723633,-3.362639108672738e-05,0.0016989256255328655,7.692676263104659e-06
26,4.343199,1000.0010986328125,8.745851516723633,-3.362639108672738e-05,0.0016989256255328655,7.692676263104659e-06
27,4.464192,1000.0010986328125,8.74582576751709,-1.1498736057546921e-05,0.00011408354475861415,1.4213496797310654e-05
28,4.571635,1000.0010986328125,8.74582576751709,-1.1498736057546921e-05,0.00011408354475861415,1.4213496797310654e-05
29,4.708095,1000.0010986328125,8.745797157287598,-1.3939888958702795e-05,0.00012712240277323872,1.4270521205617115e-05
30,4.819681,1000.0010986328125,8.745797157287598,-1.3939888958702795e-05,0.00012712240277323872,1.4270521205617115e-05
31,4.931975,1000.0010986328125,8.745771408081055,-1.1345081475155894e-05,0.00010388976079411805,1.4318788089440204e-05
32,5.050296,1000.0010986328125,8.74575138092041,-7.979348993103486e-06,7.483115768991411e-05,1.4352573998621665e-05
33,5.164839,1000.0010986328125,8.74575138092041,-7.979348993103486e-06,7.483115768991411e-05,1.4352573998621665e-05
34,5.285315,1000.0010986328125,8.745742797851562,-2.1425639715744182e-06,2.1106721760588698e-05,1.4369468772201799e-05
35,5.40313,1000.0010986328125,8.745742797851562,-2.1425639715744182e-06,2.1106721760588698e-05,1.4369468772201799e-05
36,5.541215,1000.0010986328125,8.74573802947998,-3.1285753721022047e-06,3.0314471587189473e-05,1.4384580936166458e-05
37,5.663561,1000.0010986328125,8.745732307434082,-2.649436510182568e-06,2.6603482183418237e-05,1.4395885045814794e-05
38,5.784172,1000.0010986328125,8.745732307434082,-2.649436510182568e-06,2.6603482183418237e-05,1.4395885045814794e-05
39,5.906712,1000.0010986328125,8.7457275390625,-1.9356455140950857e-06,1.9943659935961477e-05,1.440321375412168e-05
40,6.028194,1000.0010986328125,8.7457275390625,-1.9356455140950857e-06,1.9943659935961477e-05,1.440321375412168e-05
41,6.173372,1000.0010986328125,8.74572467803955,-4.0148844959730923e-07,4.645531589630991e-06,1.4406767149921507e-05
42,6.301324,1000.0673828125,8.745007514953613,1.2559200525283813,-0.01732652448117733,-0.02642822265625
43,6.424547,1000.0673828125,8.745007514953613,1.2559200525283813,-0.01732652448117733,-0.02642822265625
44,6.553831,1000.2764892578125,8.742654800415039,2.5752029418945312,-0.03915747255086899,-0.1107788011431694
45,6.686031,1000.2764892578125,8.742654800415039,2.5752029418945312,-0.03915747255086899,-0.1107788011431694
46,6.823758,1000.6026611328125,8.738525390625,3.6621737480163574,-0.06300290673971176,-0.2413635551929474
47,6.949159,1001.0232543945312,8.732319831848145,4.541271209716797,-0.08916348963975906,-0.4074401259422302
48,7.079476,1001.0232543945312,8.732319831848145,4.541271209716797,-0.08916348963975906,-0.4074401259422302
49,7.228922,1001.52099609375,8.723714828491211,5.268417835235596,-0.11728890240192413,-0.5984190702438354
50,7.36045,1002.083984375,8.71242904663086,5.888685703277588,-0.147413432598114,-0.80487060546875
51,7.490314,1002.083984375,8.71242904663086,5.888685703277588,-0.147413432598114,-0.80487060546875
